,dx,dz,method,caso,n
20,1.0465486871035614,3.9511119323423194,GN,0,2
21,5.395298892954455,2.1550968056985247,GN,0,2
22,6.594647024954666,0.8298841023589555,GN,0,2
23,971.4501895750485,0.12064939423102013,GN,0,2
24,12353.81674702004,2.4892451981155084,GN,0,2
0,0.23341068836429837,1.0,LM,0,3
1,0.49055177753827994,0.5869998563423716,LM,0,3
2,0.5988525117110847,0.42281366206504745,LM,0,3
3,0.4505955294441291,0.11401692287935145,LM,0,3
4,0.23117105797388332,0.04869297817125282,LM,0,3
5,0.1730358710945416,0.029848708486394364,LM,0,3
6,0.1295336027003959,0.023683467095375867,LM,0,3
7,0.09701898852027228,0.03231295521657471,LM,0,3
8,0.07269354828226501,0.04348725989720766,LM,0,3
9,0.054475713039948415,0.05178662490150027,LM,0,3
10,0.04082560868594524,0.05603779947843528,LM,0,3
11,0.02037991699122791,0.08190752258921877,LM,0,3
12,0.0002307131716464618,0.08005074787252607,LM,0,3
13,7.544936883261385e-07,0.0001966840480460655,LM,0,3
14,3.2399077925824977e-09,1.0642259145863774e-10,LM,0,3
0,0.2977175235530828,1.0,GNbc,0,3
1,1.1104264933987789,268.1644269254108,GNbc,0,3
2,0.7765556086872253,32.650567432025,GNbc,0,3
3,0.088729100036654,4.77410883825573,GNbc,0,3
4,0.006139696325189071,0.49275520443298354,GNbc,0,3
5,0.0005459650395443929,0.23074538498933625,GNbc,0,3
6,1.8901418361568486e-05,0.005939733638900359,GNbc,0,3
7,3.52467793473998e-07,7.491971573397065e-06,GNbc,0,3
0,1.2198897153515758,1.0,GN,0,3
1,0.8040057236058097,0.685356931457504,GN,0,3
2,0.13112658494491636,4.376405519623869,GN,0,3
3,0.23246463297025444,0.3102090810169776,GN,0,3
4,0.0939012300848048,1.8067606527013487,GN,0,3
5,0.0208757365578871,117.70789915471143,GN,0,3
6,0.060064063897786006,23.14876256823522,GN,0,3
7,0.08563514153984729,5.799476747774454,GN,0,3
8,0.012251144852376,3028.7104478109013,GN,0,3
9,0.019281751716879143,391.66433179943925,GN,0,3
10,0.049353364421862854,55.95302040341146,GN,0,3
11,0.13339629456590027,9.622221940574724,GN,0,3
12,0.22249118701184706,2.093913795951832,GN,0,3
13,0.48895406033613215,0.5759557515584455,GN,0,3
14,0.13647390889149807,11.219055610224126,GN,0,3
15,0.5613218958647884,3.2999383491022867,GN,0,3
16,1.50627093560192,1.1428736452533803,GN,0,3
17,1.0632257910010003,0.973524308166933,GN,0,3
18,1.0075190274006842,0.37982199007293327,GN,0,3
19,1.1616275661972502,0.11017859421215723,GN,0,3
20,4.01298285705534,0.14370861618653705,GN,0,3
21,29.655745275370386,0.04242411618011009,GN,0,3
22,2102.9423086523225,0.1712211796257286,GN,0,3
0,0.23340046863613856,1.0,LM,0,4
1,0.4912159595690921,0.5877675231883556,LM,0,4
2,0.5971089110105172,0.4243645353461398,LM,0,4
3,0.4478730060471388,0.11668965736010566,LM,0,4
4,0.2296931149730222,0.04439145080603781,LM,0,4
5,0.17176373494099711,0.027537479258855815,LM,0,4
6,0.12848112725413133,0.022560669781685,LM,0,4
7,0.096170113318263,0.02956152479912578,LM,0,4
8,0.07202055014807004,0.03807321940854961,LM,0,4
9,0.05394956525765611,0.04373908752297538,LM,0,4
10,0.0404187873560248,0.04582284974244126,LM,0,4
11,0.020160873594845467,0.06070911848258252,LM,0,4
12,0.0002741837483674026,0.04987918069874952,LM,0,4
13,7.2142280785023565e-06,3.169368306648811e-05,LM,0,4
0,0.29605449251166127,1.0,GNbc,0,4
1,1.1064013449995043,259.7051574033403,GNbc,0,4
2,0.7760202757550998,31.48639253420901,GNbc,0,4
3,0.086640826920404,4.871751465407852,GNbc,0,4
4,0.004242558330698549,0.15198316386335659,GNbc,0,4
5,0.0001505890108892357,0.022307732186449845,GNbc,0,4
6,1.5356314257698724e-05,3.3046748962014215e-05,GNbc,0,4
7,9.462024983094873e-08,5.595116240483399e-08,GNbc,0,4
0,1.213178646972046,1.0,GN,0,4
1,0.8048502338620749,0.6881202814230972,GN,0,4
2,0.1310348783117246,4.379708672508583,GN,0,4
3,0.23007442526675745,0.3130063169891175,GN,0,4
4,0.09130876135847041,1.6836340810841464,GN,0,4
5,0.008862996603454753,537.930261148792,GN,0,4
6,0.030089391251825352,82.41510420765292,GN,0,4
7,0.07248608344347236,17.040856440399587,GN,0,4
8,0.15327820631254174,4.410957927852724,GN,0,4
9,0.09830627352639865,16.08505946252701,GN,0,4
10,0.19772275576032525,3.2413400192307695,GN,0,4
11,0.41188542362951375,0.9282384976439735,GN,0,4
12,0.298542718693154,8.850717444131504,GN,0,4
13,0.7034176765036357,2.7695353564772702,GN,0,4
14,2.1381992016992664,0.9367940881421362,GN,0,4
15,0.9585530192723171,0.766009377957437,GN,0,4
16,3.7613180280394887,0.1284126151097393,GN,0,4
17,22.44027847732672,0.05464679849337635,GN,0,4
18,1236.1391055745305,0.17499661752646128,GN,0,4
0,0.233523059989041,1.0,LM,0,5
1,0.48952401604233725,0.5881078638052832,LM,0,5
2,0.5979473303590751,0.4230228405685572,LM,0,5
3,0.45323898314645983,0.11298570106917805,LM,0,5
4,0.2346948915246012,0.05174028389036981,LM,0,5
5,0.17597289452710108,0.03140648893524493,LM,0,5
6,0.13190047692567194,0.02520751682704237,LM,0,5
7,0.09889253131191146,0.03646828554713115,LM,0,5
8,0.07416088208011132,0.05098149073301233,LM,0,5
9,0.05561617083316304,0.06267209784472388,LM,0,5
10,0.041707204934429185,0.06997566705090913,LM,0,5
11,0.03127554644133162,0.07267032967193418,LM,0,5
12,0.01563587931156822,0.0945711647523752,LM,0,5
13,9.184952770822187e-05,0.08106795831618133,LM,0,5
14,5.973034043958963e-07,0.00022438236995866979,LM,0,5
15,1.6144253125754115e-09,6.436140993916842e-09,LM,0,5
0,0.29483505965936785,1.0,GNbc,0,5
1,1.0942322447576558,233.9858599762811,GNbc,0,5
2,0.7590905415907833,27.999682863439126,GNbc,0,5
3,0.08811262396363273,3.222691190178576,GNbc,0,5
4,0.009141392506015518,1.114173589570038,GNbc,0,5
5,0.0015508554456497982,1.4254167541138443,GNbc,0,5
6,0.0001911912425448035,0.12303679775665667,GNbc,0,5
7,4.19231122585323e-06,0.0014150763732695387,GNbc,0,5
8,3.9511758995313204e-08,1.6362458527935057e-08,GNbc,0,5
0,1.2065801155461962,1.0,GN,0,5
1,0.7839937703177644,0.6968591061817884,GN,0,5
2,0.12475596047801342,4.448515404887551,GN,0,5
3,0.23067789276307085,0.31021913468532847,GN,0,5
4,0.09331070201221678,1.9798464482268192,GN,0,5
5,0.030183725933926226,66.28653628890581,GN,0,5
6,0.06424518917786405,14.394829007284768,GN,0,5
7,0.17362931060878264,3.7484003912758728,GN,0,5
8,0.11309919891192173,7.47975884729935,GN,0,5
9,0.20132613011207448,1.8245440307006935,GN,0,5
10,0.09718555783935134,38.7592636881526,GN,0,5
11,0.2620432331165953,8.24204821546031,GN,0,5
12,0.20640649062868868,2.465516627897682,GN,0,5
13,0.5669411474163029,0.26421651504810306,GN,0,5
14,0.172069721988032,1.2379626900317553,GN,0,5
15,0.13896177850253888,24.05525947913537,GN,0,5
16,0.2641748474327811,5.63721143640982,GN,0,5
17,0.5097205497165007,1.7053787022298548,GN,0,5
18,0.1297611842039139,17.461942161115875,GN,0,5
19,0.26002906679463345,3.1669615042121046,GN,0,5
20,0.3341612568931338,1.079805438451193,GN,0,5
21,0.4149347044985788,1.0585866643116855,GN,0,5
22,0.17746693051507986,0.31046886758186903,GN,0,5
23,0.048481838459424005,10.442846136786246,GN,0,5
24,0.013326379686316373,3.2718541709381497,GN,0,5
25,0.0014113913715154485,1.7733123853522545,GN,0,5
26,5.096610613939219e-05,0.06223025624683841,GN,0,5
27,2.0839936823852992e-06,0.00010975581285269465,GN,0,5
28,4.4184924066181505e-09,7.700987794077643e-09,GN,0,5
0,0.23348738406517996,1.0,LM,0,6
1,0.4911717006378027,0.5879139447633082,LM,0,6
2,0.5982103006146451,0.42367522024516313,LM,0,6
3,0.44974700850213994,0.11386261707298696,LM,0,6
4,0.23206813075913635,0.04843620208774393,LM,0,6
5,0.17379651634651577,0.02965473959257168,LM,0,6
6,0.13013792020794776,0.023920834671130698,LM,0,6
7,0.0974841077264256,0.03298273007703078,LM,0,6
8,0.07304553510837512,0.04438616359544502,LM,0,6
9,0.05473968956817676,0.0528166333859787,LM,0,6
10,0.041022731799087435,0.057124012494454056,LM,0,6
11,0.020473651402362226,0.08334147387502394,LM,0,6
12,0.0002178909068025982,0.08085962955931832,LM,0,6
13,8.59757501338348e-06,0.0001230809357912375,LM,0,6
14,5.062810003425163e-08,9.664648757885874e-08,LM,0,6
