,dx,dz,method,caso
1,2.7155942855812074,0.3155751608926488,GNbc,2
2,0.44502407878768985,0.17678350994400552,GNbc,2
3,0.33380172347342973,0.015500458553271316,GNbc,2
4,0.41197886755627766,0.012641667296492414,GNbc,2
5,0.4349733917320993,0.011162268038532853,GNbc,2
6,0.10569887630388082,0.012460029746339595,GNbc,2
7,0.010475612278083015,0.0006711963584831271,GNbc,2
8,4.624443911733582e-05,9.906103919389512e-06,GNbc,2
9,1.9641661259422323e-07,3.1632209128954103e-10,GNbc,2
0,7.911181261824087,1.0,GN,2
1,2.730279289064489,0.3190506442159578,GN,2
2,0.47217844440730805,0.1806996219467625,GN,2
3,1.3227561309291094,0.014929052726900741,GN,2
4,0.10148765929138866,0.10899546086927576,GN,2
5,0.02691881479325875,0.0026537287587205874,GN,2
6,0.00044427883923691644,4.842553457312302e-05,GN,2
7,1.997022447945146e-06,8.782112553994262e-09,GN,2
0,1.8658402137011407,1.0,LM,3
1,0.7484295365619049,0.46375471398155266,LM,3
2,1.3162146035884315,0.05243770638353881,LM,3
3,2.1665979191758495,0.026341711038971986,LM,3
4,2.5056653426497943,0.02029246675810481,LM,3
5,2.078238228493604,0.017261973154126673,LM,3
6,1.4359021661056999,0.012267913967167678,LM,3
7,0.1767063226268147,0.011601712477906272,LM,3
8,0.06088969213149893,0.0006085906886393067,LM,3
9,0.060393175356418374,0.0004949365622464947,LM,3
10,0.06336482180147825,0.00038640799502819473,LM,3
11,0.06772458632209229,0.00034199958981661287,LM,3
12,0.07070977975070261,0.0003003490979300342,LM,3
13,0.07459503119241392,0.0002738635406234791,LM,3
14,0.07957365980608137,0.00026050941395243745,LM,3
15,0.08592489965573465,0.00025935487211755563,LM,3
16,0.0896950129399166,0.00024602072503755143,LM,3
17,0.09399384132032848,0.00023624310854558224,LM,3
18,0.09890586411479586,0.00022994747257509018,LM,3
19,0.104535718754015,0.00022715632615457698,LM,3
20,0.11101401161007887,0.0002280047309998101,LM,3
21,0.1146173267853321,0.00022211784028923818,LM,3
22,0.11850437245119524,0.00021717928877547997,LM,3
23,0.12270376584527687,0.00021319685802199508,LM,3
24,0.12724806593143342,0.0002101875458416643,LM,3
25,0.13217441552555317,0.00020817874893321286,LM,3
26,0.13752534700420316,0.00020720974873996792,LM,3
27,0.14334973755225902,0.0002073335752520979,LM,3
28,0.1497039709739545,0.00020861934718797957,LM,3
29,0.1566533579794353,0.0002111552155983748,LM,3
30,0.16427388233607057,0.0002150520791640265,LM,3
31,0.17265433469652317,0.0002204482926898833,LM,3
32,0.18189898134380242,0.00022751566280988298,LM,3
33,0.19213088260962155,0.000236467127127399,LM,3
34,0.20349606730497094,0.0002475666493186431,LM,3
0,7.7395569477761015,1.0,GNbc,3
1,2.9527560402231017,0.3118643977181335,GNbc,3
2,0.6363134397724499,0.2207512922406792,GNbc,3
3,0.7413434813546165,0.033630006763685445,GNbc,3
4,0.20316690857011152,0.03782695385949626,GNbc,3
5,0.02877388836039171,0.0047658700443146615,GNbc,3
6,0.0006047452568823158,0.00010098177625085973,GNbc,3
7,1.6346020851851295e-06,2.694716620093764e-08,GNbc,3
0,7.756449523406867,1.0,GN,3
1,2.9404881783389003,0.3133600329026884,GN,3
2,0.6501814535733882,0.21516420802778446,GN,3
3,0.7856856357186326,0.03175737850623632,GN,3
4,0.20922357049538046,0.04243962627819632,GN,3
5,0.03291829550059571,0.005205538173211448,GN,3
6,0.000734105841538633,0.00013331829488029504,GN,3
7,1.999813517031512e-06,3.916053073429553e-08,GN,3
